075,114,147
255,065,065
041,171,227
252,170,000
053,068,088
255,000,000
229,191,255
201,027,038
250,239,000
077,103,066
250,106,001
000,135,203
237,028,036
040,171,227
177,235,000
220,220,220
240,240,240
255,076,101
000,200,248
140,105,084
225,157,041
091,177,047
204,001,173
255,255,128
026,154,026
251,226,180
139,173,057
226,191,136
032,069,124
225,225,008
176,171,190
122,122,122
255,191,255
191,255,191
064,255,179
008,225,225
240,176,155
146,176,106
031,218,154
224,228,204
217,101,090
